id,question,ground_truth_letter,ground_truth_text,vs_A_B_selected,vs_A_B_is_correct,vs_A_B_trace,vs_A_B_justification,vs_A_D_selected,vs_A_D_is_correct,vs_A_D_trace,vs_A_D_justification,vs_B_D_selected,vs_B_D_is_correct,vs_B_D_trace,vs_B_D_justification,vs_B_C_selected,vs_B_C_is_correct,vs_B_C_trace,vs_B_C_justification,vs_C_D_selected,vs_C_D_is_correct,vs_C_D_trace,vs_C_D_justification,vs_A_C_selected,vs_A_C_is_correct,vs_A_C_trace,vs_A_C_justification,total_correct,total_evals
7487,Most common site of metastasis for Breast Carcinoma is,D,Lumbar veebra,A,0.0,"[
  ""Breast carcinoma commonly metastasizes to bone via hematogenous spread."",
  ""Within bone metastases, the vertebral column is a very common site due to venous plexus spread."",
  ""Among the listed sites, thoracic vertebrae are the most common site.""
]",Thoracic vertebrae are the most common listed site for breast carcinoma bone metastasis.,,,,,,,,,D,1.0,"[
  ""Breast carcinoma commonly metastasizes to bone, especially the axial skeleton."",
  ""Among skeletal sites, vertebrae are more commonly involved than pelvis or femur."",
  ""Therefore, among the given options, lumbar vertebra is the best answer.""
]",Breast carcinoma most commonly metastasizes to the vertebral column among the listed skeletal sites.,,,,,A,0.0,"[
  ""Breast carcinoma most commonly gives distant metastases to bone."",
  ""Within skeletal metastases, the axial skeleton, especially the vertebral column, is more common than femur."",
  ""Among vertebral sites, thoracic vertebrae are the most common site listed.""
]","Breast carcinoma commonly metastasizes to bone, particularly the thoracic vertebrae among the given options.",1.0,3
7510,Which of the following is best suited for detection of calculi in the submandibular gland?,A,Lower true occlusal,,,,,,,,,A,1.0,"[
  ""Submandibular gland/Wharton duct calculi are best demonstrated with mandibular occlusal radiography of the floor of the mouth."",
  ""The lower true occlusal view provides a cross-sectional projection suitable for detecting radiopaque sialoliths in the submandibular duct/gland region."",
  ""Lower topographic occlusal is mainly for anterior mandibular assessment, and vertex occlusal is not the preferred view for submandibular calculi.""
]",Lower true occlusal view is best suited for detecting submandibular salivary calculi.,C,0.0,"[
  ""Submandibular gland calculi are usually posterior/inferior and require a projection that shows the posterior floor-of-mouth/submandibular region."",
  ""Lower topographic occlusal is mainly for the anterior mandible, so it is not best suited."",
  ""Lower oblique occlusal is preferred for detecting submandibular gland calculi.""
]",Lower oblique occlusal best demonstrates calculi in the submandibular gland region.,C,0.0,"[
  ""Submandibular sialoliths may occur in the duct or within the gland."",
  ""A lower true occlusal view is mainly useful for calculi in the anterior floor of mouth/Wharton's duct."",
  ""A lower oblique occlusal view is better suited for visualizing calculi located in the submandibular gland region.""
]",Lower oblique occlusal radiograph best demonstrates calculi in the submandibular gland region.,,,,,1.0,3
7531,Which of the following is a definite indication for systemic steroids in rheumatoid ahritis?,D,Both 'a' & 'c',A,0.0,"[
  ""Systemic steroids in rheumatoid arthritis are definitely indicated for severe extra-articular disease such as rheumatoid vasculitis."",
  ""Mononeuritis multiplex in rheumatoid arthritis usually reflects vasculitic neuropathy and requires systemic corticosteroids."",
  ""Carpal tunnel syndrome is not a definite indication for systemic steroids; it is usually managed with splinting, local steroid injection, or decompression.""
]",Mononeuritis multiplex is a severe vasculitic manifestation of rheumatoid arthritis requiring systemic steroids.,,,,,,,,,D,1.0,"[
  ""Systemic steroids in rheumatoid arthritis are definite indications mainly for serious extra-articular disease."",
  ""Carpal tunnel syndrome is not a definite indication for systemic steroids; it is usually managed locally or surgically if needed."",
  ""Lung involvement is a serious extra-articular manifestation, and if option a is another systemic manifestation, then both a and c is the best choice among the provided options.""
]","Systemic steroids are indicated for serious extra-articular rheumatoid disease such as lung involvement, not isolated carpal tunnel syndrome.",,,,,D,1.0,"[
  ""Mononeuritis multiplex in rheumatoid arthritis usually reflects rheumatoid vasculitis and is a definite indication for systemic corticosteroids."",
  ""Clinically significant rheumatoid lung involvement can also require systemic corticosteroid therapy depending on the manifestation."",
  ""Since both listed conditions are accepted indications among the provided options, the combined option is correct.""
]",Both mononeuritis multiplex and significant lung involvement are definite indications for systemic steroids in rheumatoid arthritis.,2.0,3
7588,Recurrent ischaemic events following thrombosis have been pathophysiologically linked to,C,Lipoprotein A,B,0.0,"[
  ""Recurrent ischaemic events after an acute thrombotic coronary event are most directly related to ongoing thrombin generation and coagulation activation."",
  ""Fibrinopeptide A is released when thrombin cleaves fibrinogen, so it is a marker of active thrombin-mediated thrombosis."",
  ""Lipoprotein(a) is a chronic atherothrombotic risk factor and antibodies to thrombolytic agents relate to thrombolytic reactions/resistance, but neither best fits the immediate pathophysiologic link.""
]","Fibrinopeptide A reflects ongoing thrombin activity, which is linked to recurrent ischaemic events after thrombosis.",C,1.0,"[
  ""Lipoprotein(a) is structurally similar to plasminogen and can interfere with fibrinolysis."",
  ""Impaired fibrinolysis promotes persistence or recurrence of thrombotic occlusion, increasing recurrent ischaemic events."",
  ""Antibodies to thrombolytic agents and triglycerides are not the best established pathophysiologic link among the provided options.""
]",Lipoprotein(a) has prothrombotic and antifibrinolytic effects linked to recurrent ischaemic events after thrombosis.,C,1.0,"[
  ""Recurrent ischaemic events after a thrombotic episode are most strongly associated with prothrombotic/antifibrinolytic mechanisms."",
  ""Lipoprotein(a) is structurally similar to plasminogen and can impair fibrinolysis, promoting thrombosis and recurrent ischaemic events."",
  ""Fibrinopeptide A is mainly a marker of thrombin activity, and triglycerides are a general cardiovascular risk factor, but neither is the best pathophysiologic link here.""
]",Lipoprotein(a) promotes thrombosis by interfering with fibrinolysis and is linked to recurrent ischaemic events.,,,,,,,,,,,,,2.0,3
7607,What could be the possible diagnosis as per the given X-ray?,A,Osgood schattler disease,,,,,,,,,B,0.0,"[
  ""Osgood-Schlatter disease shows fragmentation/irregularity at the tibial tuberosity."",
  ""Pellegrini-Stieda lesion shows calcification/ossification near the medial femoral condyle at the MCL origin."",
  ""Segond fracture shows a small avulsion fragment from the lateral tibial plateau, typically associated with ACL injury.""
]","The X-ray appearance is most consistent with Pellegrini-Stieda lesion, showing ossification near the medial femoral condyle.",B,0.0,"[
  ""SLAP tear is primarily a labral injury diagnosed by MRI/arthroscopy, not a typical plain X-ray diagnosis."",
  ""Osgood-Schlatter disease shows tibial tubercle fragmentation/irregularity in adolescents, but the named X-ray calcific lesion among the options is different."",
  ""Pellegrini-Stieda lesion is ossification/calcification near the medial femoral condyle at the MCL origin, classically diagnosed on X-ray.""
]",Pellegrini-Stieda lesion is a characteristic X-ray finding of calcification/ossification at the medial collateral ligament origin.,D,0.0,"[
  ""SLAP tear is a shoulder labral injury and is not diagnosed on a plain knee X-ray."",
  ""Osgood-Schlatter disease shows tibial tubercle fragmentation/prominence rather than a lateral tibial plateau avulsion."",
  ""A small avulsion fragment from the lateral proximal tibia on X-ray is characteristic of a Segond fracture.""
]",Segond fracture is the X-ray diagnosis suggested by a lateral proximal tibial avulsion fragment.,,,,,0.0,3
7618,"A female presented with long standing nasal obstruction. She also complaints about comments from her friends telling about foul smell coming from her nose which she could not recognise. On evaluation, atrophic rhinitis is diagnosed. What can be the etiology in this patient to develop secondary atrophic rhinitis?",A,Chronic sinusitis,,,,,,,,,B,0.0,"[
  ""Atrophic rhinitis can be primary or secondary; primary causes include idiopathic factors such as hereditary predisposition."",
  ""Secondary atrophic rhinitis occurs after identifiable mucosal damage, such as trauma, excessive surgery, radiation, or granulomatous disease."",
  ""Among the given options, nasal trauma is the best recognized cause of secondary atrophic rhinitis.""
]","Nasal trauma can damage nasal mucosa and turbinates, leading to secondary atrophic rhinitis.",B,0.0,"[
  ""The clinical features are consistent with atrophic rhinitis with foul-smelling crusting and anosmia."",
  ""Secondary atrophic rhinitis occurs due to acquired damage to nasal mucosa, commonly after surgery, radiation, granulomatous disease, or trauma."",
  ""Among the options, nasal trauma is the appropriate recognized etiology for secondary atrophic rhinitis.""
]","Nasal trauma can damage the nasal mucosa and turbinates, leading to secondary atrophic rhinitis.",A,1.0,"[
  ""Atrophic rhinitis with foul smell and anosmia is consistent with ozena."",
  ""Secondary atrophic rhinitis may occur due to chronic local nasal or sinus disease, surgery, trauma, irradiation, or granulomatous infections."",
  ""Among the given options, chronic sinusitis is a recognized cause of secondary atrophic rhinitis, while hereditary factors suggest primary disease.""
]",Chronic sinusitis can lead to secondary atrophic rhinitis.,,,,,1.0,3
7627,The muscle of hand that contains a sesamoid bone is,D,Adductor pollicis,A,0.0,"[
  ""Sesamoid bones of the thumb are associated with the metacarpophalangeal joint tendons."",
  ""Flexor pollicis brevis is a thenar hand muscle whose tendon commonly contains a sesamoid bone."",
  ""Flexor pollicis longus is not an intrinsic hand muscle, so the best correct option is flexor pollicis brevis.""
]",Flexor pollicis brevis is the intrinsic hand muscle classically associated with a sesamoid bone in its tendon.,,,,,,,,,D,1.0,"[
  ""Sesamoid bones of the thumb are commonly found at the metacarpophalangeal joint within tendons of muscles inserting there."",
  ""Adductor pollicis is an intrinsic hand muscle associated with the ulnar sesamoid bone of the thumb."",
  ""Flexor pollicis longus is not an intrinsic hand muscle, and opponens pollicis is not typically described as containing a sesamoid bone.""
]",Adductor pollicis is associated with a sesamoid bone at the thumb metacarpophalangeal joint.,,,,,A,0.0,"[
  ""Sesamoid bones of the thumb are associated with tendons at the metacarpophalangeal joint."",
  ""Flexor pollicis brevis commonly has a sesamoid bone in its tendon of insertion."",
  ""Opponens pollicis does not contain a sesamoid bone; among the provided options, the expected correct answer is flexor pollicis brevis.""
]",Flexor pollicis brevis has a sesamoid bone in its tendon of insertion.,1.0,3
7654,Most common abdominal mass in children:,C,Neuroblastoma,A,0.0,"[
  ""The question asks for the most common abdominal mass, not specifically the most common abdominal tumor or malignancy."",
  ""Hydronephrosis is a common non-neoplastic cause of abdominal mass in children, especially from the urinary tract."",
  ""Wilms' tumor and neuroblastoma are important pediatric abdominal tumors, but they are not the most common abdominal mass overall among the given options.""
]",Hydronephrosis is the most common abdominal mass among the listed options.,A,0.0,"[
  ""Hydronephrosis is a common non-neoplastic abdominal mass in infants/children, especially from urinary tract obstruction."",
  ""Neuroblastoma is the most common abdominal malignant tumor in children but not the most common abdominal mass overall among these options."",
  ""Rhabdomyosarcoma is not the most common abdominal mass in children.""
]",Hydronephrosis is the most common abdominal mass among the listed options.,C,1.0,"[
  ""Assess the options as pediatric abdominal tumors/masses."",
  ""Neuroblastoma is the most common extracranial solid tumor in children and commonly presents as an abdominal mass, often from the adrenal gland."",
  ""Wilms tumor is the most common renal tumor in children, but among the listed options neuroblastoma is the most common abdominal mass.""
]",Neuroblastoma is the most common extracranial solid tumor in children and commonly presents as an abdominal mass.,,,,,,,,,,,,,1.0,3
7655,Healthworker-hand washing,A,Cleaning hands with spirit before and after examination of each patient,,,,,,,,,B,0.0,"[
  ""Alcohol-based hand rub can be used for routine hand hygiene when hands are not visibly soiled, so the statement that it cannot replace hand washing is false."",
  ""When hands are visibly contaminated with blood or body fluids, they must be washed with soap and water."",
  ""Cleaning with spirit before and after every patient is not universally appropriate because visible contamination requires soap and water.""
]",Visible blood contamination on hands should be removed by washing with soap and water.,B,0.0,"[
  ""Alcohol-based hand rubs can be used for routine hand hygiene, but they are not appropriate when hands are visibly contaminated with blood or body fluids."",
  ""Visible blood contamination on hands requires washing with soap and water to physically remove organic material."",
  ""Using soap and Dettol only before surgery is not the standard surgical hand preparation method.""
]",Visible blood on hands should be removed by washing with soap and water.,A,1.0,"[
  ""Hand hygiene is required before and after examining each patient to prevent healthcare-associated infection."",
  ""Alcohol-based hand rub/spirit is an accepted method for routine hand antisepsis when hands are not visibly soiled."",
  ""Soap/Dettol only before surgery is too limited, and hand rub can often replace hand washing, so C and D are incorrect.""
]",Cleaning hands with spirit before and after each patient examination reflects appropriate routine hand hygiene practice.,,,,,1.0,3
7689,A 52 year old woman has long standing rheumatoid ahritis (RA) and is being treated with coicosteroids and nonsteroidal anti-inflammatory drugs (NSAIDs). Which of the following cardiac complications may arise in this clinical setting?,D,Restrictive cardiomyopathy,A,0.0,"[
  ""Rheumatoid arthritis can have extra-articular cardiac involvement, most commonly pericarditis."",
  ""Chronic or recurrent rheumatoid pericarditis can rarely progress to constrictive pericarditis."",
  ""Dilated cardiomyopathy and restrictive cardiomyopathy are less directly characteristic complications in this setting compared with constrictive pericarditis.""
]","Long-standing RA can cause chronic pericarditis, which may progress to constrictive pericarditis.",,,,,,,,,D,1.0,"[
  ""Long-standing rheumatoid arthritis is a chronic inflammatory disease that can lead to secondary AA amyloidosis."",
  ""Cardiac amyloid deposition classically causes impaired ventricular filling with a restrictive cardiomyopathy pattern."",
  ""Dilated cardiomyopathy is not the typical RA-related complication, and hypersensitivity myocarditis is a drug reaction rather than the classic cardiac complication of longstanding RA.""
]","Long-standing RA can cause secondary amyloidosis with cardiac involvement, leading to restrictive cardiomyopathy.",,,,,A,0.0,"[
  ""Rheumatoid arthritis can involve the heart, most commonly through pericardial disease."",
  ""Chronic rheumatoid pericarditis can rarely progress to fibrous scarring and constrictive pericarditis."",
  ""Restrictive cardiomyopathy and hypersensitivity myocarditis are not the characteristic cardiac complication in this setting among the options.""
]",Long-standing rheumatoid arthritis can cause chronic pericarditis that may progress to constrictive pericarditis.,1.0,3
7690,Bleeding time is not prolonged in-,D,Polycythemia,B,0.0,"[
  ""Bleeding time reflects platelet number/function and von Willebrand factor-mediated platelet adhesion."",
  ""Von Willebrand's disease prolongs bleeding time because platelet adhesion is impaired."",
  ""Christmas disease is hemophilia B, a factor IX coagulation defect, so bleeding time remains normal.""
]","Christmas disease affects coagulation factor IX, not platelet function, so bleeding time is not prolonged.",,,,,,,,,C,0.0,"[
  ""Bleeding time reflects platelet number/function and vascular factors, not intrinsic coagulation factor defects."",
  ""Haemophilia is a coagulation factor deficiency, so bleeding time remains normal."",
  ""Polycythemia can be associated with platelet dysfunction and bleeding abnormalities.""
]",Bleeding time is not prolonged in haemophilia because platelet function is normal.,,,,,C,0.0,"[
  ""Bleeding time assesses platelet adhesion/aggregation and primary hemostasis."",
  ""Von Willebrand disease impairs platelet adhesion, so bleeding time is prolonged."",
  ""Hemophilia is a coagulation factor disorder affecting secondary hemostasis, so bleeding time is not prolonged.""
]",Hemophilia has normal bleeding time because platelet function is intact.,0.0,3
7762,Most common causative organism for bacterial meningitis beyond 3 years of age is -,A,Pneumococcus,,,,,,,,,A,1.0,"[
  ""Beyond 3 years of age, Haemophilus influenzae type b is less common, especially compared with its typical peak in younger children."",
  ""Staphylococcus aureus is not a usual common cause of community-acquired bacterial meningitis in this age group; it is more associated with trauma, neurosurgery, or shunts."",
  ""Among the provided options, Streptococcus pneumoniae is the most common causative organism for bacterial meningitis beyond 3 years of age.""
]",Pneumococcus is the most common option listed for bacterial meningitis beyond 3 years of age.,C,0.0,"[
  ""Bacterial meningitis causative organisms vary with age."",
  ""Beyond about 3 years of age, Neisseria meningitidis becomes a leading common cause compared with Staphylococcus aureus."",
  ""Among the given options, meningococcus is the most appropriate answer.""
]",Neisseria meningitidis is the most common listed cause of bacterial meningitis beyond 3 years of age.,C,0.0,"[
  ""H. influenzae type b is classically most common in younger children, especially below about 3 years in unimmunized populations."",
  ""Beyond 3 years of age, meningococcal meningitis becomes the commonest among the listed pediatric causes in traditional age-based classification."",
  ""Pneumococcus is important across ages but is not the expected most common answer for bacterial meningitis beyond 3 years in this classification.""
]","Beyond 3 years of age, the most common causative organism among the options is meningococcus.",,,,,1.0,3
